,method,precision,recall,f1
0,opt1,0.8762555243069505,0.9672555251681573,0.9195095386993639
1,opt1,0.8795851078444842,0.9656134529824297,0.9205938387433049
2,opt1,0.8333677472640925,0.9633224600206858,0.8936452874750904
3,opt1,0.855745164960182,0.9645238502308087,0.9068842181408994
4,opt1,0.8634526961125819,0.9624165243050163,0.9102526439482961
5,opt2,0.9204579025110783,0.9212062975829699,0.9208319479847796
6,opt2,0.9160220172567688,0.9286629967574089,0.9222991949073207
7,opt2,0.8733143542103686,0.927440528283873,0.899563992746074
8,opt2,0.9060544562827668,0.915968541631048,0.9109845264410814
9,opt2,0.9045737729828294,0.924522441372884,0.9144393241167434
10,opt3,0.9579118497109826,0.7839455983442974,0.862241372301939
11,opt3,0.9548190065570825,0.8015986727999397,0.8715257850291055
12,opt3,0.9157884920264852,0.7812872941363672,0.8432079684011677
13,opt3,0.9431738035264484,0.8002222602154214,0.8658373028719419
14,opt3,0.9485155956407366,0.7839726665631309,0.8584304055777571
15,opt4,0.9585167150482254,0.7565969399068667,0.8456708526107073
16,opt4,0.954713243900243,0.7996380363471834,0.8703217334208798
17,opt4,0.9156682890303257,0.7783435436391121,0.8414398142175202
18,opt4,0.9451091519731318,0.769789707642332,0.8484877037595401
19,opt4,0.9482094181784002,0.7833514520888337,0.8579325594250967
