,method,precision,recall,f1
0,opt1,0.6734040203225093,0.6871407641158571,0.6802030456852792
1,opt1,0.7411580594679186,0.5787608456556275,0.6499691209771495
2,opt1,0.726527871054399,0.5932872655478776,0.6531819828523125
3,opt1,0.7604130808950086,0.5672829994863893,0.6498014413884394
4,opt1,0.7375362318840579,0.6010393291602693,0.6623283659790461
5,opt2,0.6160302140159463,0.8272286712498591,0.7061766403694439
6,opt2,0.6658593198102735,0.8063057558352682,0.729383152774707
7,opt2,0.6567267683772539,0.8309751014588133,0.7336464436159397
8,opt2,0.6857621440536014,0.7885208012326657,0.733560293854148
9,opt2,0.6754334697058251,0.8189441360576355,0.7402978700688624
10,opt3,0.6142904674762935,0.8323002366730531,0.7068676716917923
11,opt3,0.656088272629626,0.8210925088598313,0.7293747286148502
12,opt3,0.6531362160314477,0.8383240100910387,0.7342331524088573
13,opt3,0.6771261631681454,0.8035439137134053,0.7349383440986493
14,opt3,0.6618424714723072,0.8425652533364828,0.7413488517094462
