,colocal distance,merfish gene,guidestar gene,colocalisation counts
0,0.0,Acly,Acly,0
1,0.0,Acly,Gpam,0
2,0.0,Acly,Hnf4a,0
3,0.0,Acly,Pigr,0
4,0.0,Gpam,Acly,0
5,0.0,Gpam,Gpam,0
6,0.0,Gpam,Hnf4a,0
7,0.0,Gpam,Pigr,0
8,0.0,Hnf4a,Acly,0
9,0.0,Hnf4a,Gpam,0
10,0.0,Hnf4a,Hnf4a,0
11,0.0,Hnf4a,Pigr,0
12,0.0,Pigr,Acly,0
13,0.0,Pigr,Gpam,0
14,0.0,Pigr,Hnf4a,0
15,0.0,Pigr,Pigr,0
16,0.5,Acly,Acly,597
17,0.5,Acly,Gpam,4
18,0.5,Acly,Hnf4a,12
19,0.5,Acly,Pigr,6
20,0.5,Gpam,Acly,10
21,0.5,Gpam,Gpam,2193
22,0.5,Gpam,Hnf4a,13
23,0.5,Gpam,Pigr,24
24,0.5,Hnf4a,Acly,6
25,0.5,Hnf4a,Gpam,2
26,0.5,Hnf4a,Hnf4a,301
27,0.5,Hnf4a,Pigr,15
28,0.5,Pigr,Acly,26
29,0.5,Pigr,Gpam,17
30,0.5,Pigr,Hnf4a,65
31,0.5,Pigr,Pigr,1185
32,1.0,Acly,Acly,1564
33,1.0,Acly,Gpam,16
34,1.0,Acly,Hnf4a,55
35,1.0,Acly,Pigr,53
36,1.0,Gpam,Acly,49
37,1.0,Gpam,Gpam,5113
38,1.0,Gpam,Hnf4a,74
39,1.0,Gpam,Pigr,101
40,1.0,Hnf4a,Acly,23
41,1.0,Hnf4a,Gpam,15
42,1.0,Hnf4a,Hnf4a,1264
43,1.0,Hnf4a,Pigr,68
44,1.0,Pigr,Acly,99
45,1.0,Pigr,Gpam,61
46,1.0,Pigr,Hnf4a,269
47,1.0,Pigr,Pigr,4764
48,1.5,Acly,Acly,2118
49,1.5,Acly,Gpam,37
50,1.5,Acly,Hnf4a,102
51,1.5,Acly,Pigr,114
52,1.5,Gpam,Acly,109
53,1.5,Gpam,Gpam,6395
54,1.5,Gpam,Hnf4a,182
55,1.5,Gpam,Pigr,217
56,1.5,Hnf4a,Acly,58
57,1.5,Hnf4a,Gpam,40
58,1.5,Hnf4a,Hnf4a,2556
59,1.5,Hnf4a,Pigr,162
60,1.5,Pigr,Acly,236
61,1.5,Pigr,Gpam,142
62,1.5,Pigr,Hnf4a,597
63,1.5,Pigr,Pigr,10045
64,2.0,Acly,Acly,2355
65,2.0,Acly,Gpam,58
66,2.0,Acly,Hnf4a,180
67,2.0,Acly,Pigr,201
68,2.0,Gpam,Acly,170
69,2.0,Gpam,Gpam,6789
70,2.0,Gpam,Hnf4a,340
71,2.0,Gpam,Pigr,437
72,2.0,Hnf4a,Acly,105
73,2.0,Hnf4a,Gpam,76
74,2.0,Hnf4a,Hnf4a,4196
75,2.0,Hnf4a,Pigr,261
76,2.0,Pigr,Acly,415
77,2.0,Pigr,Gpam,235
78,2.0,Pigr,Hnf4a,1031
79,2.0,Pigr,Pigr,15953
80,2.5,Acly,Acly,2457
81,2.5,Acly,Gpam,87
82,2.5,Acly,Hnf4a,265
83,2.5,Acly,Pigr,319
84,2.5,Gpam,Acly,237
85,2.5,Gpam,Gpam,6945
86,2.5,Gpam,Hnf4a,546
87,2.5,Gpam,Pigr,690
88,2.5,Hnf4a,Acly,142
89,2.5,Hnf4a,Gpam,115
90,2.5,Hnf4a,Hnf4a,5794
91,2.5,Hnf4a,Pigr,415
92,2.5,Pigr,Acly,642
93,2.5,Pigr,Gpam,366
94,2.5,Pigr,Hnf4a,1589
95,2.5,Pigr,Pigr,21375
96,3.0,Acly,Acly,2519
97,3.0,Acly,Gpam,130
98,3.0,Acly,Hnf4a,369
99,3.0,Acly,Pigr,458
100,3.0,Gpam,Acly,339
101,3.0,Gpam,Gpam,7032
102,3.0,Gpam,Hnf4a,793
103,3.0,Gpam,Pigr,978
104,3.0,Hnf4a,Acly,194
105,3.0,Hnf4a,Gpam,171
106,3.0,Hnf4a,Hnf4a,6977
107,3.0,Hnf4a,Pigr,605
108,3.0,Pigr,Acly,933
109,3.0,Pigr,Gpam,522
110,3.0,Pigr,Hnf4a,2292
111,3.0,Pigr,Pigr,25554
112,3.5,Acly,Acly,2569
113,3.5,Acly,Gpam,176
114,3.5,Acly,Hnf4a,493
115,3.5,Acly,Pigr,639
116,3.5,Gpam,Acly,475
117,3.5,Gpam,Gpam,7095
118,3.5,Gpam,Hnf4a,1073
119,3.5,Gpam,Pigr,1310
120,3.5,Hnf4a,Acly,267
121,3.5,Hnf4a,Gpam,223
122,3.5,Hnf4a,Hnf4a,7684
123,3.5,Hnf4a,Pigr,809
124,3.5,Pigr,Acly,1234
125,3.5,Pigr,Gpam,706
126,3.5,Pigr,Hnf4a,3123
127,3.5,Pigr,Pigr,28220
128,4.0,Acly,Acly,2619
129,4.0,Acly,Gpam,235
130,4.0,Acly,Hnf4a,630
131,4.0,Acly,Pigr,789
132,4.0,Gpam,Acly,614
133,4.0,Gpam,Gpam,7148
134,4.0,Gpam,Hnf4a,1355
135,4.0,Gpam,Pigr,1687
136,4.0,Hnf4a,Acly,356
137,4.0,Hnf4a,Gpam,278
138,4.0,Hnf4a,Hnf4a,8121
139,4.0,Hnf4a,Pigr,1034
140,4.0,Pigr,Acly,1592
141,4.0,Pigr,Gpam,954
142,4.0,Pigr,Hnf4a,4038
143,4.0,Pigr,Pigr,29905
144,4.5,Acly,Acly,2673
145,4.5,Acly,Gpam,294
146,4.5,Acly,Hnf4a,783
147,4.5,Acly,Pigr,955
148,4.5,Gpam,Acly,788
149,4.5,Gpam,Gpam,7214
150,4.5,Gpam,Hnf4a,1684
151,4.5,Gpam,Pigr,2061
152,4.5,Hnf4a,Acly,478
153,4.5,Hnf4a,Gpam,359
154,4.5,Hnf4a,Hnf4a,8319
155,4.5,Hnf4a,Pigr,1281
156,4.5,Pigr,Acly,2030
157,4.5,Pigr,Gpam,1187
158,4.5,Pigr,Hnf4a,5013
159,4.5,Pigr,Pigr,31153
160,5.0,Acly,Acly,2724
161,5.0,Acly,Gpam,349
162,5.0,Acly,Hnf4a,942
163,5.0,Acly,Pigr,1129
164,5.0,Gpam,Acly,938
165,5.0,Gpam,Gpam,7288
166,5.0,Gpam,Hnf4a,2040
167,5.0,Gpam,Pigr,2456
168,5.0,Hnf4a,Acly,585
169,5.0,Hnf4a,Gpam,452
170,5.0,Hnf4a,Hnf4a,8429
171,5.0,Hnf4a,Pigr,1551
172,5.0,Pigr,Acly,2483
173,5.0,Pigr,Gpam,1478
174,5.0,Pigr,Hnf4a,6118
175,5.0,Pigr,Pigr,32110
176,5.5,Acly,Acly,2780
177,5.5,Acly,Gpam,426
178,5.5,Acly,Hnf4a,1121
179,5.5,Acly,Pigr,1324
180,5.5,Gpam,Acly,1137
181,5.5,Gpam,Gpam,7369
182,5.5,Gpam,Hnf4a,2405
183,5.5,Gpam,Pigr,2858
184,5.5,Hnf4a,Acly,700
185,5.5,Hnf4a,Gpam,544
186,5.5,Hnf4a,Hnf4a,8541
187,5.5,Hnf4a,Pigr,1825
188,5.5,Pigr,Acly,2969
189,5.5,Pigr,Gpam,1741
190,5.5,Pigr,Hnf4a,7263
191,5.5,Pigr,Pigr,33019
192,6.0,Acly,Acly,2848
193,6.0,Acly,Gpam,501
194,6.0,Acly,Hnf4a,1308
195,6.0,Acly,Pigr,1512
196,6.0,Gpam,Acly,1324
197,6.0,Gpam,Gpam,7450
198,6.0,Gpam,Hnf4a,2802
199,6.0,Gpam,Pigr,3240
200,6.0,Hnf4a,Acly,828
201,6.0,Hnf4a,Gpam,635
202,6.0,Hnf4a,Hnf4a,8647
203,6.0,Hnf4a,Pigr,2106
204,6.0,Pigr,Acly,3533
205,6.0,Pigr,Gpam,2076
206,6.0,Pigr,Hnf4a,8460
207,6.0,Pigr,Pigr,33869
208,6.5,Acly,Acly,2913
209,6.5,Acly,Gpam,581
210,6.5,Acly,Hnf4a,1512
211,6.5,Acly,Pigr,1700
212,6.5,Gpam,Acly,1538
213,6.5,Gpam,Gpam,7544
214,6.5,Gpam,Hnf4a,3188
215,6.5,Gpam,Pigr,3671
216,6.5,Hnf4a,Acly,940
217,6.5,Hnf4a,Gpam,739
218,6.5,Hnf4a,Hnf4a,8764
219,6.5,Hnf4a,Pigr,2340
220,6.5,Pigr,Acly,4075
221,6.5,Pigr,Gpam,2413
222,6.5,Pigr,Hnf4a,9743
223,6.5,Pigr,Pigr,34778
224,7.0,Acly,Acly,2986
225,7.0,Acly,Gpam,665
226,7.0,Acly,Hnf4a,1705
227,7.0,Acly,Pigr,1878
228,7.0,Gpam,Acly,1734
