,combination,combid,number,precision,recall,F1
0,"('Acly',)",0,1,0.8864468864468864,0.9659250498928228,0.9244809168405786
1,"('Acly',)",0,1,0.8811030119653418,0.9662167257371239,0.9216990972197245
2,"('Acly',)",0,1,0.8389066185652837,0.9620494868326835,0.8962680206055663
3,"('Acly',)",0,1,0.8605750896194035,0.9645238502308087,0.909589261961385
4,"('Acly',)",0,1,0.8693576693576693,0.9616400062121447,0.9131733215352283
5,"('Hnf4a',)",1,1,0.953320717310985,0.7819498854312957,0.8591732315438966
6,"('Hnf4a',)",1,1,0.9519774011299436,0.7877988085363095,0.8621415308438208
7,"('Hnf4a',)",1,1,0.9119817767653758,0.7963242899196435,0.8502378525314305
8,"('Hnf4a',)",1,1,0.9371131962467558,0.8025303470678748,0.8646159513722601
9,"('Hnf4a',)",1,1,0.9433962264150944,0.7881658642646374,0.8588230316876084
10,"('Ube2z',)",2,1,0.9244068557742684,0.9129277847586665,0.918631461509855
11,"('Ube2z',)",2,1,0.9240825688073394,0.9114697232486237,0.9177328119661363
12,"('Ube2z',)",2,1,0.87323311644604,0.9289521839446256,0.9002313030069391
13,"('Ube2z',)",2,1,0.9062632068295157,0.9165669345187212,0.911385949254112
14,"('Ube2z',)",2,1,0.9153688846940381,0.9037117564839261,0.9095029696780245
15,"('Gpam',)",3,1,0.9306717850287908,0.8960011826446892,0.9130074565037283
16,"('Gpam',)",3,1,0.9276585857021145,0.9031747228715783,0.9152529420755006
17,"('Gpam',)",3,1,0.8878379443524868,0.8961731243535683,0.89198606271777
18,"('Gpam',)",3,1,0.9111339852461828,0.9080184646948196,0.9095735571159445
19,"('Gpam',)",3,1,0.919603612243267,0.8935393694673086,0.906384151864834
20,"('Acly', 'Hnf4a')",0,2,0.9166848895692106,0.9295587257003474,0.923076923076923
21,"('Acly', 'Hnf4a')",0,2,0.9104172745841844,0.9411054973229771,0.9255070636656902
22,"('Acly', 'Hnf4a')",0,2,0.8684540955757442,0.9354761715331371,0.9007200857974568
23,"('Acly', 'Hnf4a')",0,2,0.8969706920614071,0.9340058129594803,0.9151136982285689
24,"('Acly', 'Hnf4a')",0,2,0.8989544436146378,0.9346948283895015,0.9164763209989341
25,"('Acly', 'Ube2z')",1,2,0.9103743315508022,0.9437504619705818,0.9267619946287291
26,"('Acly', 'Ube2z')",1,2,0.9063376735486656,0.9500791795490536,0.9276931006553273
27,"('Acly', 'Ube2z')",1,2,0.8638282387190684,0.9443074230249026,0.902276787411152
28,"('Acly', 'Ube2z')",1,2,0.8925566343042072,0.9430671909728159,0.9171169673289551
29,"('Acly', 'Ube2z')",1,2,0.8958148476782017,0.9407516695138997,0.9177335050374971
30,"('Acly', 'Gpam')",2,2,0.9096920998364503,0.9455983442974352,0.9272977674688316
31,"('Acly', 'Gpam')",2,2,0.907040426605174,0.9491742704170123,0.9276291546908395
32,"('Acly', 'Gpam')",2,2,0.8639807664286755,0.9435118147824011,0.901996577296064
33,"('Acly', 'Gpam')",2,2,0.8913884857281084,0.9450333390323132,0.9174273858921161
34,"('Acly', 'Gpam')",2,2,0.8944849421986599,0.9433141792203759,0.9182508787180167
35,"('Hnf4a', 'Ube2z')",3,2,0.9340659340659341,0.8795919875822308,0.9060108873577221
36,"('Hnf4a', 'Ube2z')",3,2,0.9320718866281371,0.8877912676268758,0.9093928626602811
37,"('Hnf4a', 'Ube2z')",3,2,0.8859198355601233,0.8915585965470603,0.8887302720279165
38,"('Hnf4a', 'Ube2z')",3,2,0.9166227839213621,0.892802188408275,0.9045556902823488
39,"('Hnf4a', 'Ube2z')",3,2,0.9221669250224361,0.8776984003727287,0.8993833300179034
