,Hnf4a,Hnf4a,Hnf4a,Hnf4a,Hnf4a,Hnf4a,Pigr,Pigr,Pigr,Pigr,Pigr,Pigr,Gpam,Gpam,Gpam,Gpam,Gpam,Gpam,Acly,Acly,Acly,Acly,Acly,Acly
,TP,FP,FN,precision,recall,F1,TP,FP,FN,precision,recall,F1,TP,FP,FN,precision,recall,F1,TP,FP,FN,precision,recall,F1
0,1819,145,6302,0.9261710794297352,0.22398719369535772,0.36073376301437776,9782,3614,20123,0.7302179755150792,0.32710249122220364,0.4518140458649916,2543,402,4605,0.863497453310696,0.35576385002797983,0.5039136034875656,540,139,2079,0.7952871870397643,0.20618556701030927,0.32747119466343233
1,1935,154,6186,0.9262805169937769,0.23827114887329146,0.37904015670910873,10315,3879,19590,0.7267155135972946,0.34492559772613274,0.4678110614753168,2661,441,4487,0.8578336557059961,0.37227196418578623,0.519219512195122,564,149,2055,0.791023842917251,0.21534936998854526,0.3385354141656663
2,2069,170,6052,0.9240732469852613,0.25477157985469767,0.3994208494208494,10860,4166,19045,0.7227472381205909,0.3631499749205818,0.48340789210122176,2785,491,4363,0.8501221001221001,0.3896194739787353,0.5343438219493477,596,170,2023,0.7780678851174935,0.22756777395952654,0.3521418020679469
3,2196,183,5925,0.9230769230769231,0.27041004802364244,0.4182857142857143,11496,4465,18409,0.7202556230812606,0.3844173215181408,0.501286355906336,2912,538,4236,0.8440579710144928,0.40738668158925573,0.5495376486129457,634,193,1985,0.7666263603385731,0.2420771286750668,0.3679628554846198
4,2314,197,5807,0.9215452011150936,0.2849402782908509,0.43528969149736646,11926,4754,17979,0.7149880095923261,0.39879618792844007,0.5120103037458409,3017,584,4131,0.8378228269925021,0.4220761052042529,0.5613545446088009,668,215,1951,0.7565118912797282,0.25505918289423446,0.3814962878355226
5,2413,208,5708,0.9206409767264403,0.2971308952099495,0.44926456898156775,12368,5031,17537,0.7108454508879821,0.41357632502925934,0.5229156096736006,3162,628,3986,0.8343007915567282,0.44236149972020145,0.578167855183763,703,235,1916,0.7494669509594882,0.26842306223749524,0.39527691875175713
6,2537,226,5584,0.918204849800941,0.31239995074498217,0.466188901139287,12864,5307,17041,0.7079412250288922,0.4301621802374185,0.5351526749313587,3275,686,3873,0.8268114112597829,0.45817011751538894,0.5896120262849941,748,260,1871,0.7420634920634921,0.28560519282168767,0.4124620898814448
7,2616,238,5505,0.9166082690960056,0.32212781677133356,0.4767198177676537,13240,5569,16665,0.7039183369663459,0.44273532854037784,0.5435809007677463,3341,728,3807,0.8210862619808307,0.4674034695019586,0.5957029508781314,777,275,1842,0.7385931558935361,0.29667812142038946,0.4233178970307818
8,2724,251,5397,0.9156302521008404,0.33542667159216843,0.49098774333093004,13761,5926,16144,0.6989891806776045,0.460157164353787,0.5549685433134377,3458,798,3690,0.8125,0.48377168438724116,0.6064538758330411,819,298,1800,0.7332139659803044,0.3127147766323024,0.43843683083511775
